smiles,zinc_id,mw,xlogp,source_file,max_similarity_to_positive,matched_positive_smiles
NCC(=O)N[C@@H](CC(N)=O)C(=O)O,1813010,189.171,-2.61,AAAA.txt,0.25,C(C(=O)N)F
NCc1nnc2c(=O)[nH]ccn12,409422482,165.156,-1.124,AAAA.txt,0.18604651162790697,C1=NNC(=O)C(=C1N)Cl
COC(=O)[C@@]1(O)CNCC[C@@H]1O,2325901403,175.184,-1.755,AAAA.txt,0.22,COC(=O)C1=C(C(=NC(=N1)C2CC2)N)Cl
O=S1(=O)NCCN1,38915835,122.149,-1.576,AAAA.txt,0.2,C1CNC(=O)NC1
NCCN1CCNC1=O,164791,129.163,-1.03,AAAA.txt,0.2571428571428571,C1CN(C(=S)N1)C(=S)N
NN1CCS(=O)(=O)CC1,38343229,150.203,-1.41,AAAA.txt,0.19047619047619047,CN1CCCC1
O=C(CO)N1CCNCC1,34978177,144.174,-1.59,AAAA.txt,0.18518518518518517,CCC(=O)[O-].CCC(=O)[O-].[Ca+2]
NC(=O)[C@H]1NC(=O)NC1=O,5023875,143.102,-2.32,AAAA.txt,0.25806451612903225,C1C2C(CC(C1O)O)C(=O)NC2=O
O=C(O)[C@H]1CS(=O)(=O)CCN1,14766378,179.197,-1.542,AAAA.txt,0.19444444444444445,C1C=CCC(C1C(=O)N)C(=O)O
CN1C[C@H](N)[C@H](O)C1,34278489,116.164,-1.38,AAAA.txt,0.21739130434782608,CN1CCCC1
N[C@@H]1COC[C@@H]1n1cc(C(=O)O)nn1,1857778997,198.182,-1.125,AAAA.txt,0.1956521739130435,C1CC(=C(C1O)C(=O)O)N
NCc1nnc2n1CCNC2=O,585139318,167.172,-1.52,AAAA.txt,0.21428571428571427,C1CN(C(=S)N1)C(=S)N
NC(=O)Cn1cc(N)cn1,19810519,140.146,-1.049,AAAA.txt,0.2702702702702703,C1=NN(C=N1)CC(=O)O
C[C@@](N)(CO)C(=O)O,901265,119.12,-1.219,AAAA.txt,0.2857142857142857,C(=O)(C(F)(F)F)O
CS(=O)(=O)NC1CNC1,83119925,150.203,-1.493,AAAA.txt,0.1935483870967742,CC1CNC(=S)N1
CS(=O)(=O)c1nnn[nH]1,12371836,148.147,-1.397,AAAA.txt,0.20930232558139536,C1=CC(=C(C(=C1)F)NS(=O)(=O)C2=NC=NN2)F
NCCCN1C(=O)CNC1=O,22170999,157.173,-1.113,AAAA.txt,0.23076923076923078,C(CCCCN)CCCN
CN1CCn2c(CCN)nnc2C1=O,585139359,195.226,-1.135,AAAA.txt,0.23076923076923078,CN1CCCC1=O
OC[C@@H]1C[C@H](O)CN1,12362901,117.148,-1.299,AAAA.txt,0.1935483870967742,C1C2C(CC(C1O)O)C(=O)NC2=O
OCCNc1nc(O)nc(O)n1,13529042,172.144,-1.313,AAAA.txt,0.24242424242424243,CCNC1=NC(=NC(=N1)OC)NCC
C[C@@H]1OC(=O)[C@H](O)[C@H]1O,13435797,132.115,-1.347,AAAA.txt,0.23684210526315788,CC1C(=O)N(C(=O)O1)C2=CC=C(C=C2)O
N=C(N)N1CCN(C=O)CC1,14607243,156.189,-1.346,AAAA.txt,0.22727272727272727,C(=N)(N)N
NCC(=O)N1CCC(C(N)=O)CC1,11956795,185.227,-1.331,AAAA.txt,0.2222222222222222,C1C=CCC(C1C(=O)N)C(=O)O
O=c1[nH]cc(N2CCNCC2)c(=O)[nH]1,45951813,196.21,-1.527,AAAA.txt,0.20689655172413793,C1(=O)NC(=O)NC(=O)N1
OC[C@@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,3870514,163.173,-2.967,AAAA.txt,0.2647058823529412,C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O
NCCCNS(N)(=O)=O,19487844,153.207,-1.872,AAAA.txt,0.3,C(CCCCN)CCCN
O=C(O)C(=O)C[C@@H](O)[C@H](O)CO,1532569,178.14,-2.256,AAAA.txt,0.2692307692307692,C(O)[P+](CO)(CO)CO.C(O)[P+](CO)(CO)CO.[O-]S(=O)(=O)[O-]
NC(=O)C1(N)CNC1,34437012,115.136,-2.228,AAAA.txt,0.2777777777777778,C(=O)(N)N
NCCS(=O)(=O)N1CCNCC1,12363383,193.272,-1.82,AAAA.txt,0.15384615384615385,C1CN(C(=S)N1)C(=S)N
COCC(=O)NC1CNC1,78737805,144.174,-1.279,AAAA.txt,0.2564102564102564,CNC(=O)CSP(=O)(OC)OC
NC(=O)CC1(N)COC1,82238086,130.147,-1.411,AAAA.txt,0.2916666666666667,C(C(=O)N)F
CC(=O)[C@@H](O)[C@H](O)CO,3869506,134.131,-1.711,AAAA.txt,0.2727272727272727,C[C@@H](C(=O)O)O
NCc1c(O)nc(=O)n2c1COCC2,1857783020,197.194,-1.062,AAAA.txt,0.2,C1COCCN1CN2CCOCC2
C[C@@](N)(CN)C(=O)O,34732614,118.136,-1.253,AAAA.txt,0.2857142857142857,C(=O)(C(F)(F)F)O
CCOC(=O)C1=C(N)CC(=O)NC1=O,8637459,198.178,-1.191,AAAA.txt,0.28846153846153844,CCOC(=O)C1=NOC(C1)(C2=CC=CC=C2)C3=CC=CC=C3
O=C(O)[C@@H]1C[C@@H](P(=O)(O)O)CN1,206240649,195.111,-1.021,AAAA.txt,0.2413793103448276,CP(=O)(C(=O)O)O
CS(=O)(=O)CS(=O)(=O)O,39647980,174.199,-1.124,AAAA.txt,0.2631578947368421,C(=O)(N)N.OS(=O)(=O)O
O=C(O)CNC(CO)(CO)CO,1587260,179.172,-2.624,AAAA.txt,0.2727272727272727,C(C(=O)O)NCP(=O)(O)[O-].C(C(=O)O)NCP(=O)([O-])[O-].[Na+].[Na+].[Na+]
NC(=O)[C@H](N)[C@@H]1CCCO1,98210148,144.174,-1.022,AAAA.txt,0.2,C(=O)(N)N
Nc1nc(=O)c(C[C@H](N)C(=O)O)c[nH]1,34076432,198.182,-1.694,AAAA.txt,0.2826086956521739,C1=NN(C=N1)CC(C(=O)O)N
NC(=O)c1ncc[nH]c1=O,8657,139.114,-1.131,AAAA.txt,0.23684210526315788,C1=CC=C2C(=C1)C(=O)NC=N2
COC(=O)[C@H](N)CCCNC(=N)N,2526291,188.231,-1.25,AAAA.txt,0.2608695652173913,CCCOC(=O)NCCCN(C)C.Cl
NS(=O)(=O)C1(CO)CC1,219280554,151.187,-1.2,AAAA.txt,0.24,C(O)[P+](CO)(CO)CO.C(O)[P+](CO)(CO)CO.[O-]S(=O)(=O)[O-]
NC1CC2(C1)NC(=O)NC2=O,687730214,155.157,-1.314,AAAA.txt,0.21875,C1C=CCC2C1C(=O)NC2=O
O=C1CO[C@@]2(CCNC2)CN1,116025342,156.185,-1.135,AAAA.txt,0.21875,C1CNC(=O)NC1
COC(=O)[C@H]1C[C@@H](N)CS1(=O)=O,257871433,193.224,-1.326,AAAA.txt,0.20930232558139536,CC1CC(CCC1C(=O)OC(C)(C)C)Cl
O[C@H]1O[C@H]2CO[C@@H]([C@H]1O)[C@@H]2O,36475235,162.141,-2.176,AAAA.txt,0.20833333333333334,CC1CO1
OC[C@H]1NC[C@H](O)[C@H](O)[C@@H]1O,13601807,163.173,-2.967,AAAA.txt,0.2647058823529412,C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O
O[C@H]1CNC[C@@H]1N1CCOCC1,23094267,172.228,-1.349,AAAA.txt,0.26666666666666666,C1COCCN1CN2CCOCC2
NC(=O)N1CCN2C(=O)NC(=O)[C@H]2C1,57218591,198.182,-1.699,AAAA.txt,0.23684210526315788,C1C2C(CC(C1O)O)C(=O)NC2=O
NCCC(CO)CO,20216473,119.164,-1.064,AAAA.txt,0.2222222222222222,C(CCCCN)CCCN
CNS(=O)(=O)[C@H](C)CN,82631873,152.219,-1.117,AAAA.txt,0.2608695652173913,CCC(C)N
O=C1NCCN1C1CNC1,23903561,141.174,-1.017,AAAA.txt,0.25,C1CNC(=O)NC1
NCc1nnc2n1C[C@@H](C(=O)O)C2,1775954893,182.183,-1.006,AAAA.txt,0.27906976744186046,CCC(=O)C1C(=O)CC(CC1=O)C(=O)O
Cn1ncn(N)c1=O,32136662,114.108,-1.704,AAAA.txt,0.2857142857142857,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
NC[C@@H](N)CC(=O)O,40448670,118.136,-1.253,AAAA.txt,0.2727272727272727,CC(C)N.C(C(=O)O)NCP(=O)(O)O
O=C(O)[C@H]1NCC[C@@H]1O,4096639,131.131,-1.206,AAAA.txt,0.24242424242424243,C1CC(=C(C1O)C(=O)O)N
NC(=O)CN1C[C@H](O)CC1=O,1536077,158.157,-1.935,AAAA.txt,0.23333333333333334,C(C(=O)N)F
O=C(O)CNC(=O)[C@@H]1CCC(=O)N1,4899615,186.167,-1.534,AAAA.txt,0.23529411764705882,C1=CN=CC(=C1C(F)(F)F)C(=O)NCC(=O)O
C[C@@H]1OC(=O)[C@H](O)[C@H](O)[C@H]1O,13549741,162.141,-1.986,AAAA.txt,0.23076923076923078,CC1C(=O)N(C(=O)O1)C2=CC=C(C=C2)O
O=S1(=O)CCNC[C@H]1CO,211497543,165.214,-1.635,AAAA.txt,0.14705882352941177,C(N1C2C(N(C1=O)CO)N(C(=O)N2CO)CO)O
CS(=O)(=O)CCN1CCNCC1,19850747,192.284,-1.064,AAAA.txt,0.20512820512820512,CS(=O)(=O)CN1C(=O)C2=CC=CC=C2C1=O
NC(=O)[C@@H]1[C@H](N)[C@H]2C=C[C@H]1O2,242677142,154.169,-1.248,AAAA.txt,0.23529411764705882,C1C=CCC(C1C(=O)N)C(=O)O
O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1,3860720,174.152,-1.516,AAAA.txt,0.2571428571428571,C1CC(=C(C1O)C(=O)O)N
CS(=O)(=O)N1CCN(N)CC1,39114168,179.245,-1.563,AAAA.txt,0.21212121212121213,CC1=NNC(=O)N(C1)N
NC1(CO)COC1,83267223,103.121,-1.294,AAAA.txt,0.21875,C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O
CS(=O)(=O)N1CC[C@](O)(CN)C1,685950240,194.256,-1.659,AAAA.txt,0.1590909090909091,CS(=O)(=O)CN1C(=O)C2=CC=CC=C2C1=O
COC(=O)/C=C1/NCCNC1=O,100024921,170.168,-1.237,AAAA.txt,0.25,C/C(=C/C(=O)OC)/OP(=O)(OC)OC
N[C@@]1(C(=O)O)CCNC1,20286389,130.147,-1.238,AAAA.txt,0.20689655172413793,C1CCC(=C(C1)C(=O)O)C(=O)O
CC(=O)NCC(=O)NCC(=O)O,1721185,174.156,-1.677,AAAA.txt,0.2857142857142857,C[S+](C)C.C(C(=O)O)NCP(=O)(O)[O-]
Nc1nc(=O)[nH]cc1CO,399529,141.13,-1.156,AAAA.txt,0.2702702702702703,C1=C(N=C(NC1=O)N)O
n1nc(Nc2nn[nH]n2)n[nH]1,4575351,153.109,-1.544,AAAA.txt,0.15151515151515152,CC1=NC(=NC(=O)N1)NC
O=c1[nH]c(=O)c2nccn2[nH]1,200519911,152.113,-1.289,AAAA.txt,0.24324324324324326,CC(C)(C)C1=NNC(=O)NC1=O
NC(=O)[C@H]1CCN1,13375224,100.121,-1.166,AAAA.txt,0.2777777777777778,C(=O)(N)N
NN1CC(O)C1,107114185,88.11,-1.463,AAAA.txt,0.1724137931034483,C1CC(=C(C1O)C(=O)O)N
NC[C@@H]1COC[C@@H]1O,76570828,117.148,-1.048,AAAA.txt,0.24242424242424243,C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O
COB1OB(OC)OB(OC)O1,169743022,173.535,-1.056,AAAA.txt,0.15,COP(=S)(O)OC
O=C1CNC(=S)N1,1089842,116.145,-1.009,AAAA.txt,0.25,CC1CNC(=S)N1
NC(=O)C[C@]1(O)CCCNC1,215369758,158.201,-1.024,AAAA.txt,0.23333333333333334,C(C(=O)N)F
OC[C@H]1CNC[C@@H](O)[C@@H]1O,3813668,147.174,-2.08,AAAA.txt,0.22857142857142856,C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O
O=S1(=O)CCN[C@H](CCO)C1,94512657,179.241,-1.245,AAAA.txt,0.15151515151515152,C1N(CN(CN1CCO)CCO)CCO
CN1CCN(C(=O)CN)CC1,4240492,157.217,-1.281,AAAA.txt,0.2916666666666667,CN1CCCC1
O=C1NCCN[C@H]1CCO,19090523,144.174,-1.543,AAAA.txt,0.23529411764705882,C1C2C(CC(C1O)O)C(=O)NC2=O
NC(=O)c1cc(C(N)=O)[nH]n1,95830521,154.129,-1.393,AAAA.txt,0.25,C1=CC(=C(C=C1C(=O)N)Br)O
O=C(O)[C@H]1NCCN[C@@H]1C(=O)O,19366540,174.156,-1.914,AAAA.txt,0.25,C1C=CCC(C1C(=O)N)C(=O)O
N[C@H]1COC1=O,33369666,87.078,-1.13,AAAA.txt,0.2857142857142857,CCC1COC(=O)O1
O=C1NCCN[C@@H]1CCO,19090526,144.174,-1.543,AAAA.txt,0.23529411764705882,C1C2C(CC(C1O)O)C(=O)NC2=O
CC(C)(CO)[C@@H](O)C(=O)NCCO,1599739,191.227,-1.526,AAAA.txt,0.21052631578947367,COC1=C(C=CC(=C1)CCNC(=O)C(C2=CC=C(C=C2)Cl)O)O
N[C@H]1C[C@@H](O)C[C@H]1N,104646206,116.164,-1.204,AAAA.txt,0.2,C1C2C(CC(C1O)O)C(=O)NC2=O
C[C@H](CN)S(N)(=O)=O,82631470,138.192,-1.378,AAAA.txt,0.3,CCC(C)N
O=C(O)[C@@H]1NCCNC1=O,15442539,144.13,-1.841,AAAA.txt,0.25,C1CNC(=O)NC1
C1Cn2nnnc2CN1,84253565,125.135,-1.224,AAAA.txt,0.15384615384615385,C1CN(C(=S)N1)C(=S)N
N=C(N)NCCS(=O)(=O)O,4095756,167.19,-1.643,AAAA.txt,0.2916666666666667,C(=O)(N)N.OS(=O)(=O)O
O=C(O)[C@@H]1NC[C@H]2CNC[C@H]21,117667530,156.185,-1.122,AAAA.txt,0.19444444444444445,C1C=CCC(C1C(=O)N)C(=O)O
Cn1cnnc1C[C@H](N)C(N)=O,690905185,169.188,-1.83,AAAA.txt,0.26666666666666666,C1=NN(C=N1)CC(C(=O)O)N
N[C@@H]1C[C@H](CO)NC1=O,215038950,130.147,-1.806,AAAA.txt,0.28125,C1C2C(CC(C1O)O)C(=O)NC2=O
CN1CCN([C@H]2COC[C@@H]2N)CC1,29866061,185.271,-1.04,AAAA.txt,0.25925925925925924,CN1CCCC1
CN[C@H]1CS(=O)(=O)C[C@H]1O,3866013,165.214,-1.636,AAAA.txt,0.18181818181818182,C1C2C(CC(C1O)O)C(=O)NC2=O
[BH3-]c1n(C)cc[n+]1C,2382312004,109.969,-2.16,AAAA.txt,0.23076923076923078,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C
NCC(N)(CO)CO,19369393,120.152,-2.373,AAAA.txt,0.16666666666666666,C(CCCCN)CCCN
CO[C@@H]1O[C@@H](OC)[C@@H](O)[C@@H]1O,4578984,164.157,-1.317,AAAA.txt,0.2647058823529412,C(C1[C@H]([C@H](C([C@H](O1)O[C@H]2[C@H](C([C@H](OC2CO)O)O)O)O)O)O)O
NCCC1(O)CNC1,85923898,116.164,-1.331,AAAA.txt,0.18181818181818182,C(CCCCN)CCCN
O=C([C@H](O)CO)[C@H](O)[C@@H](O)CO,4095649,180.156,-3.377,AAAA.txt,0.23076923076923078,C(O)[P+](CO)(CO)CO.C(O)[P+](CO)(CO)CO.[O-]S(=O)(=O)[O-]
N[C@@H]1CCC(=O)NC1=O,5133397,128.131,-1.25,AAAA.txt,0.27586206896551724,C1C=CCC2C1C(=O)NC2=O
O=S(=O)(O)CCO,3875755,126.133,-1.134,AAAA.txt,0.2857142857142857,C(O)[P+](CO)(CO)CO.C(O)[P+](CO)(CO)CO.[O-]S(=O)(=O)[O-]
COC(=O)[C@@H]1NCC[C@H](O)[C@@H]1O,1857779336,175.184,-1.757,AAAA.txt,0.20930232558139536,CC1CC(CCC1C(=O)OC(C)(C)C)Cl
NC1CNC1,19361604,72.111,-1.083,AAAA.txt,0.21739130434782608,CC1CNC(=S)N1
NCC(CN)OS(=O)(=O)O,36372536,170.19,-1.908,AAAA.txt,0.2727272727272727,C(=O)(N)N.OS(=O)(=O)O
COC(=O)[C@@H]1C[C@@H](O)C(=O)N1,100047348,159.141,-1.591,AAAA.txt,0.29411764705882354,C1C2C(CC(C1O)O)C(=O)NC2=O
O=C1CO[C@]2(CCNC2)CN1,116025345,156.185,-1.135,AAAA.txt,0.21875,C1CNC(=O)NC1
O=C(O)[C@H]1CC(=O)N(C2CNC2)C1,107130079,184.195,-1.109,AAAA.txt,0.3,CCC(=O)C1C(=O)CC(CC1=O)C(=O)O
O=BOB1OB(OB(O)O)O1,257354823,157.257,-3.03,AAAA.txt,0.12244897959183673,B1(OCCC(O1)C)OCCC(C)OB2OCCC(O2)C
COC(=O)C(CN)CN,77031869,132.163,-1.307,AAAA.txt,0.26666666666666666,CCCCCCCCCC(=O)OC
O=C1C[C@@H](CO)N1,39246806,101.105,-1.133,AAAA.txt,0.25925925925925924,C(N1C2C(N(C1=O)CO)N(C(=O)N2CO)CO)O
CC(=O)CN1C(=O)COCC1=O,50131246,171.152,-1.039,AAAA.txt,0.23214285714285715,C1CCC2=C(C1)C(=O)N(C2=O)C3=C(C=C4C(=C3)N(C(=O)CO4)CCC(=O)O)F
COC(=O)[C@@H]1CNC(=O)N1,39074107,144.13,-1.159,AAAA.txt,0.22857142857142856,CC1CNC(=S)N1
CS(=O)(=O)CC[C@@H](N)C(N)=O,19436460,180.229,-1.766,AAAA.txt,0.2916666666666667,C(=O)(N)N.OS(=O)(=O)O
O=C(O)[C@@H]1C[C@H](O)CN1,901736,131.131,-1.206,AAAA.txt,0.22580645161290322,C1C2C(CC(C1O)O)C(=O)NC2=O
Nc1ccn(C[C@H](O)CO)c(=O)n1,15085315,185.183,-1.821,AAAA.txt,0.2222222222222222,C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)O
OC[C@@H]1CNC[C@@H]1CO,48056626,131.175,-1.193,AAAA.txt,0.18518518518518517,CC1CNC(=S)N1
COC(=O)Cc1nnn[nH]1,20045582,142.118,-1.085,AAAA.txt,0.2777777777777778,CCCCCCCCCC(=O)OC
COC(=O)[C@@H](N)c1cn(C)nn1,259805746,170.172,-1.012,AAAA.txt,0.2608695652173913,CN1C=C(C(=N1)C(F)(F)F)C(=O)N
N[C@H]1CCc2nnnn2C1,18554994,139.162,-1.053,AAAA.txt,0.15384615384615385,C1CC1NC2=NC(=NC(=N2)N)N
O[C@H]1[C@H](O)[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,100073149,180.156,-3.835,AAAA.txt,0.17857142857142858,C(C1[C@H]([C@H](C([C@H](O1)O[C@H]2[C@H](C([C@H](OC2CO)O)O)O)O)O)O)O
NCCN[C@H](CC(=O)O)C(=O)O,98090065,176.172,-1.537,AAAA.txt,0.23076923076923078,CC(C)N.C(C(=O)O)NCP(=O)(O)O
NC(=O)CN1CCC(N)CC1,9256947,157.217,-1.105,AAAA.txt,0.2692307692307692,C(C(=O)N)F
NCC(CO)CO,34380540,105.137,-1.454,AAAA.txt,0.23809523809523808,CC(CO)OC
COC(=O)[C@H]1C(=O)CNC1=O,100654371,157.125,-1.526,AAAA.txt,0.2564102564102564,CCC(=O)C1C(=O)CC(CC1=O)C(=O)O
OC[C@@H](O)CN1CCNCC1,22590355,160.217,-1.755,AAAA.txt,0.2222222222222222,CCCN(CC)CC(CO)O
COC(=O)[C@](C)(O)[C@](C)(O)C(=O)O,1775956583,192.167,-1.254,AAAA.txt,0.2608695652173913,C(=O)(C(F)(F)F)O
O=C1COCCN1CCO,34516865,145.158,-1.163,AAAA.txt,0.275,CCCCCCCCN1CCCC1=O
NC1CC(O)(CO)C1,116188339,117.148,-1.169,AAAA.txt,0.25,C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O
COC1(C(=O)O)CS(=O)(=O)C1,257965363,180.181,-1.115,AAAA.txt,0.20689655172413793,C1CCC(=C(C1)C(=O)O)C(=O)O
NS(=O)(=O)Cc1ncon1,157461268,163.158,-1.142,AAAA.txt,0.23809523809523808,CCS(=O)(=O)C1=C(N=CC=C1)S(=O)(=O)N
C[C@H](O)[C@H]1OC(=O)[C@H](O)[C@H]1O,901596,162.141,-1.986,AAAA.txt,0.23076923076923078,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O
C1CN(c2nn[nH]n2)CCN1,83339594,154.177,-1.391,AAAA.txt,0.15384615384615385,C1CN(C(=S)N1)C(=S)N
